Query,map,P@5,P@10,P@15,P@20
Q01,0.6228,0.8,0.8,0.7333,0.65
Q02,0.3261,0.6,0.3,0.2667,0.3
Q03,0.7097,0.8,0.7,0.6667,0.6
Q04,0.2975,0.6,0.4,0.2667,0.3
Q05,0.7066,1.0,0.8,0.7333,0.65
Q06,0.6926,1.0,1.0,0.8,0.7
Q07,0.6413,1.0,0.8,0.7333,0.6
Q08,0.4694,0.8,0.7,0.4667,0.45
Q09,0.6769,1.0,0.9,0.8667,0.75
Q10,0.3198,0.6,0.3,0.2667,0.25
all,0.5463,0.82,0.67,0.58,0.525
